domain,name,homepage,platform,evidence,matched_terms,match_hits,products_sampled,source,query
detectorhero.com,"Shop the Best Metal Detectors for Gold, Relics & More – Detector Hero",https://detectorhero.com,shopify,products.json,"bounty hunter,coiltek,detecting coil,detecting headphones,detector cover,digging tool,garrett,gold detector,gold pan,gold prospecting,makro,metal detecting,metal detector,minelab,nokta,nokta makro,nugget detector,pinpointer,quest,relic hunting,sand scoop,search coil,treasure hunting,underwater metal detector,waterproof metal detector,xp detectors,xp deus",734,750,seedfile,seed-file
sports365pro.com,Metal Detectors and Metal Detecting Accessories For Sale – Sports 365,https://sports365pro.com,shopify,products.json,"bounty hunter,coiltek,detech,detecting headphones,digging tool,fisher labs,garrett,gold detector,gold pan,gold prospecting,makro,metal detecting,metal detector,minelab,nokta,nokta makro,nugget detector,okm,pinpointer,quest,relic hunting,sand scoop,search coil,teknetics,tesoro,treasure hunting,underwater metal detector,waterproof metal detector,xp deus",604,750,seedfile,seed-file
spinadiscmetaldetectors.com,Spin-A-Disc Metal Detectors: Reliable Quality Goods Since 1990 – Spin a disc metal detectors,https://spinadiscmetaldetectors.com,shopify,products.json,"coiltek,detech,digging tool,garrett,gold detector,gold pan,gold prospecting,makro,metal detecting,metal detector,minelab,nel coils,nokta,nokta makro,pin pointer,pinpointer,quest,sand scoop,search coil,teknetics,tesoro,xp deus",603,750,seedfile,seed-file
metaldetector.com,"Metal Detectors for Hobby, Professional & Security - MetalDetector.com",https://metaldetector.com,shopify,products.json,"bounty hunter,detech,digging tool,fisher labs,garrett,gold pan,gold prospecting,makro,metal detector,minelab,nokta,nokta makro,okm,pinpointer,quest,sand scoop,search coil,teknetics,tesoro,underwater metal detector,waterproof metal detector,xp deus",599,750,seedfile,seed-file
seriousdetecting.com,Serious Detecting – Authorized Metal Detector Dealer | Expert Support,https://seriousdetecting.com,shopify,products.json,"bounty hunter,coiltek,coin shooting,detecting coil,detecting headphones,digging tool,garrett,gold detector,gold pan,gold prospecting,makro,metal detecting,metal detector,minelab,nokta,nokta makro,okm,pinpointer,quest,relic hunting,sand scoop,search coil,teknetics,treasure hunting,underwater metal detector,waterproof metal detector,xp deus",564,750,seedfile,seed-file
highplainsprospectors.com,High Plains Prospectors - Premier Metal Detector Supply‎,https://highplainsprospectors.com,shopify,products.json,"bounty hunter,coiltek,detecting headphones,digging tool,garrett,gold detector,gold pan,gold prospecting,makro,metal detecting,metal detector,minelab,nokta,nokta makro,nugget detector,pinpointer,pulse induction detector,quest,relic hunting,sand scoop,search coil,teknetics,treasure hunting,underwater metal detector,waterproof metal detector,xp detectors,xp deus",540,750,seedfile,seed-file
diggingitdetectors.com,Metal Detecting Store - Authorized Dealer On Detector and Accessories,https://diggingitdetectors.com,shopify,products.json,"coiltek,digging tool,garrett,gold detector,gold pan,gold prospecting,makro,metal detecting,metal detector,minelab,nokta,nokta makro,nugget detector,okm,pin pointer,pinpointer,sand scoop,search coil,treasure hunting,waterproof metal detector,xp detectors,xp deus",352,396,seedfile,seed-file
losttreasures.com.au,Lost Treasures | Metal Detector and Fossicking Store,https://losttreasures.com.au,shopify,products.json,"coiltek,digging tool,garrett,gold pan,gold prospecting,makro,metal detecting,metal detector,minelab,nokta,nokta makro,pinpointer,sand scoop,search coil,tesoro,treasure hunting,xp deus",275,566,seedfile,seed-file
canadiantreasureseekers.com,Canadian Treasure Seekers – Purveyors of metal detectors since 1997,https://canadiantreasureseekers.com,woocommerce,store-api,"garrett,gold pan,gold prospecting,makro,metal detector,minelab,nokta,nokta makro,pinpointer,search coil,teknetics,xp deus",249,300,seedfile,seed-file
treasurecoastmetaldetectors.com,"Buy Metal Detectors Online – Hobby, Beach & Security Use",https://treasurecoastmetaldetectors.com,shopify,products.json,"digging tool,gold detector,gold prospecting,makro,metal detecting,metal detector,minelab,nokta,nokta makro,okm,pinpointer,relic hunting,sand scoop,search coil,treasure hunting,waterproof metal detector,xp deus",206,225,seedfile,seed-file
